PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Paul Millsap,DEN,35,19,9,10,24.2,8,2.5,6.2,39.8,0.8,2.3,34.1,2.3,2.8,79.6,1.4,3.3,4.7,1.2,1.3,0.6,0.5,2.6,17.4,0,0,-2.1
Paul Watson,TOR,25,2,2,0,4.3,1,0.5,1,50,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,3.3,0,0,-2
Quinn Cook,LAL,27,6,6,0,4,2.2,0.8,1.7,50,0.3,0.7,50,0.2,0.2,100,0,0.2,0.2,0.8,0.2,0,0,0.2,3.5,0,0,-5.8
Rajon Rondo,LAL,34,16,12,4,24.7,8.9,3.4,7.6,45.5,1.3,3.1,40,0.8,1.2,68.4,0.8,3.5,4.3,6.6,2.1,1.4,0.1,2.3,26.3,2,0,2.8
Raul Neto,PHI,28,2,0,2,12.9,4,1.5,4.5,33.3,1,2.5,40,0,0,0,0,1.5,1.5,1.5,0.5,0.5,0,0,9.1,0,0,-11
Rayjon Tucker,UTA,22,2,2,0,5.6,2.5,1,2.5,40,0.5,1.5,33.3,0,0,0,0,0,0,0,0.5,0,0,0.5,2,0,0,-3.5
Reggie Jackson,LAC,30,12,7,5,14.2,4.9,1.8,4,43.8,1.4,2.7,53.1,0,0,0,0.2,1.6,1.8,0.9,0.4,0.2,0.1,1.5,8.7,0,0,0.5
Robert Covington,HOU,29,12,5,7,31.6,11.2,3.9,7.9,49.5,2.8,5.7,50,0.5,0.6,85.7,0.7,4.3,5,1.3,1,2.5,1.1,3.8,28.9,1,0,-2.7
Robert Williams III,BOS,22,13,7,6,11.5,3.7,1.8,2.4,74.2,0,0.1,0,0.2,0.5,33.3,1.7,2.2,3.9,0.8,0.5,0.2,0.5,1.4,11.1,0,0,1.8
Robin Lopez,MIL,32,3,2,1,6.9,2,1,1.3,75,0,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0.7,3.6,0,0,-5
Rodions Kurucs,BKN,22,4,0,4,14.6,5.5,2.8,5,55,0,2,0,0,0.5,0,0.8,2.5,3.3,0.8,0.8,0.3,0.5,2.3,12,0,0,-14.3
Rodney McGruder,LAC,28,5,3,2,3.1,1.6,0.6,1,60,0.4,0.6,66.7,0,0,0,0.2,0.6,0.8,0.4,0,0,0,0,3.2,0,0,2.4
Romeo Langford,BOS,20,7,6,1,6.5,1.4,0.6,1.4,40,0.1,0.3,50,0.1,0.3,50,0,0.4,0.4,0.3,0.3,0.1,0,0.6,2.5,0,0,1.3
Rondae Hollis-Jefferson,TOR,25,5,3,2,7.7,2.8,0.8,2,40,0,0.2,0,1.2,1.6,75,1,1,2,0.6,0.2,0.4,0.2,1,7.7,0,0,1.8
Royce O'Neale,UTA,27,7,3,4,35.5,5.6,1.9,4.6,40.6,1.4,3.1,45.5,0.4,0.9,50,0.4,5,5.4,2.7,1.9,1.3,0.3,3.6,19,0,0,-2.1
Rudy Gobert,UTA,28,7,3,4,38.6,16.9,6.9,10.6,64.9,0,0,0,3.1,6,52.4,3.4,8,11.4,1.1,1.3,0.6,1.4,3.7,37,5,0,3.7
Russell Westbrook,HOU,31,8,3,5,32.7,17.9,7.4,17.5,42.1,1,4.1,24.2,2.1,4,53.1,1.4,5.6,7,4.6,3.8,1.5,0.3,2.9,34.7,1,0,-4.6
Semi Ojeleye,BOS,25,13,7,6,9.4,1.6,0.5,2.2,25,0.4,1.8,21.7,0.2,0.2,100,0.2,0.8,0.9,0.1,0.1,0.2,0,0.7,3.5,0,0,-0.7
Serge Ibaka,TOR,30,11,7,4,22.9,14.8,5.7,10,57.3,2.1,4.1,51.1,1.3,1.3,100,1.5,6.2,7.7,1.2,1.1,0.2,1.3,2.5,29.1,2,0,3.1
Seth Curry,DAL,29,6,2,4,28.8,12.8,5.2,8.8,58.5,1.7,3.5,47.6,0.8,0.8,100,0.3,1.5,1.8,1.3,1.3,1,0,2.3,18.7,0,0,3
Shai Gilgeous-Alexander,OKC,21,7,3,4,39.9,16.3,5.6,12.9,43.3,2,5,40,3.1,3.3,95.7,0.4,4.9,5.3,4.1,2.1,1,0.4,2.4,31,1,0,-3.4
Shake Milton,PHI,23,4,0,4,31.5,14.5,5.3,11,47.7,2.5,6.3,40,1.5,1.8,85.7,0.3,3,3.3,2.8,1.5,0.5,0,3.3,22.5,0,0,-4.8
Solomon Hill,MIA,29,7,3,4,6,1.7,0.7,1.3,55.6,0.3,0.9,33.3,0,0,0,0.1,0.9,1,0.4,0,0.1,0,0.7,4,0,0,1
Stanley Johnson,TOR,24,3,2,1,6.7,4.3,1.7,3.7,45.5,0.7,1.7,40,0.3,0.3,100,0.3,1,1.3,2,0.3,0,0,1,8.6,0,0,-1.7
Sterling Brown,MIL,25,1,1,0,3.6,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-9
Steven Adams,OKC,26,7,3,4,30,10.1,4.4,7.4,59.6,0,0.1,0,1.3,2.9,45,4.9,6.7,11.6,1.3,2.3,0.6,0.3,1.4,26.2,2,0,-7.1
T.J. McConnell,IND,28,3,0,3,9.3,2.3,1,2.7,37.5,0,0,0,0.3,0.7,50,0,2,2,2.3,0.7,0,0,1.3,7.6,0,0,-3.3
T.J. Warren,IND,26,4,0,4,39.1,20,8,17,47.1,1.8,4.8,36.8,2.3,2.3,100,1.3,5,6.3,3,2.8,2.3,0.3,4,36.8,0,0,-8
Tacko Fall,BOS,24,2,1,1,1.4,1.5,0.5,0.5,100,0,0,0,0.5,1,50,0,0.5,0.5,0,0,0,0,0,2.1,0,0,-1
Talen Horton-Tucker,LAL,19,2,2,0,8.5,7,3,6,50,1,2.5,40,0,0,0,0,2.5,2.5,0,0,1,0,2,13,0,0,2.5
Terance Mann,LAC,23,13,7,6,2.1,0.3,0.2,0.4,40,0,0.2,0,0,0,0,0,0.5,0.5,0.1,0.2,0.1,0,0.3,1.1,0,0,0.5
Terence Davis,TOR,23,6,3,3,14,7.2,2.3,4.8,48.3,1.3,3.2,42.1,1.2,1.2,100,0.3,1.8,2.2,1.2,1,0.2,0,1.8,11,0,0,7.3
Terrance Ferguson,OKC,22,4,2,2,10.4,1.5,0.5,2.8,18.2,0.5,2.5,20,0,0,0,0.3,0.8,1,0.3,0.3,0.3,0,0.8,3.6,0,0,-4.3
Terrence Ross,ORL,29,5,1,4,27,16.4,6,12.8,46.9,2,6,33.3,2.4,2.8,85.7,0.2,4.2,4.4,1,1.6,0.8,0.2,2.8,24.6,0,0,2
Tim Hardaway Jr.,DAL,28,6,2,4,33.9,17.8,6.7,15.8,42.1,3.2,9,35.2,1.3,1.8,72.7,0.5,3,3.5,1.8,0.5,0.3,0,2.7,25.3,0,0,-13.7
Timothe Luwawu-Cabarrot,BKN,25,4,0,4,32.8,16,5,14.8,33.9,3.3,9.8,33.3,2.8,3,91.7,0.3,3.5,3.8,1.5,2,0.8,0,3.5,23,0,0,-6.3
Tobias Harris,PHI,27,4,0,4,37.1,15.8,5.8,15,38.3,0.5,3.8,13.3,3.8,4.8,78.9,3.5,6,9.5,4,1.3,0.5,0.3,2.8,34.2,2,0,-7.8
Tony Bradley,UTA,22,6,3,3,8.1,1.5,0.3,1.5,22.2,0,0,0,0.8,1.2,71.4,1.7,2.2,3.8,0.2,0.7,0.3,0.3,0.7,7.7,0,0,3.2
Torrey Craig,DEN,29,19,9,10,19.8,4.5,1.7,4.1,42.3,0.6,2.2,26.2,0.5,0.7,69.2,0.7,2.6,3.3,0.7,0.5,0.4,0.4,2.3,11.2,0,0,-4.5
Tremont Waters,BOS,22,1,1,0,2.4,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,-2
Trey Burke,DAL,27,6,2,4,26.1,12.3,5,9.8,50.8,1.3,2.8,47.1,1,1.7,60,0.3,2.8,3.2,2,1,1.3,0.3,2.3,23.1,0,0,-0.5
Troy Daniels,DEN,28,6,1,5,5,2.7,1,2,50,0.5,1,50,0.2,0.3,50,0.2,0.3,0.5,0.3,0,0,0,0.3,3.8,0,0,1.8
Tyler Cook,DEN,22,1,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2.4,0,0,7
Tyler Herro,MIA,20,21,14,7,33.6,16,5.7,13.2,43.3,2.3,6.1,37.5,2.2,2.6,87,0.3,4.8,5.1,3.7,2,0.4,0.1,1.5,27,1,0,0
Tyler Johnson,BKN,28,4,0,4,23.2,13.8,5.3,11.5,45.7,2.8,7,39.3,0.5,0.5,100,0,1.8,1.8,2.3,0.8,0,0.3,2.8,19.2,0,0,-18.3
Tyson Chandler,HOU,37,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vic Law,ORL,24,1,0,1,3.6,3,1,1,100,1,1,100,0,0,0,0,2,2,1,0,0,0,0,6.9,0,0,9
