PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Meyers Leonard,POR,23,5,1,4,21.3,7.8,2.8,4.2,66.7,2,2.6,76.9,0.2,0.4,50,1.2,5.4,6.6,1,0.6,0.4,0.4,3.4,19,1,0,6
Michael Carter-Williams,MIL,23,6,2,4,31.8,12.2,5.5,13,42.3,0,0.8,0,1.2,2,58.3,0.2,4.3,4.5,4.8,2.7,1.2,1,2.3,28.7,0,0,-12.2
Mike Conley,MEM,27,8,5,3,30.4,14.4,5.1,12,42.7,1.3,4.1,30.3,2.9,3.5,82.1,0,1.1,1.1,5,1.5,1.4,0,1.3,25.9,0,0,1.8
Mike Dunleavy,CHI,34,12,6,6,32.4,10.9,3.6,7.3,48.9,2.3,4.7,48.2,1.5,1.6,94.7,0.6,3.4,4,2.6,1.3,0.8,0.4,2.6,22.1,0,0,6
Mike Miller,CLE,35,9,5,4,7.3,1,0.3,0.6,60,0.3,0.6,60,0,0,0,0,1.1,1.1,0,0.1,0.1,0.1,0.7,2.9,0,0,-1.4
Mike Muscala,ATL,23,10,5,5,10.2,4.2,2,3.3,60.6,0.2,0.8,25,0,0,0,0.8,1,1.8,0.1,0.4,0.1,0.3,1.3,7.3,0,0,-3
Mike Scott,ATL,26,11,4,7,15.6,4.5,1.9,5,38.2,0.4,2.4,15.4,0.4,0.4,100,1.5,2.7,4.2,0.5,0.6,0.5,0,1.5,11,0,0,-4
Miles Plumlee,MIL,26,1,0,1,16.4,3,1,8,12.5,0,0,0,1,2,50,3,3,6,1,1,0,1,1,13.7,0,0,-8
Mirza Teletovic,BKN,29,3,1,2,5.5,0,0,1.7,0,0,1.3,0,0,0,0,0,1.3,1.3,0,0.3,0.3,0,0.3,2.3,0,0,-3.3
Monta Ellis,DAL,29,5,1,4,39.4,26,10.4,22.2,46.8,2.2,6,36.7,3,4,75,0.8,2.4,3.2,5.2,3.2,2,0.6,3.6,42.2,0,0,-0.8
Nazr Mohammed,CHI,37,3,1,2,4.5,1.3,0.7,2.3,28.6,0,0.3,0,0,0,0,1,0.7,1.7,0,0,0,0.3,0,4.3,0,0,7.7
Nene,WAS,32,10,6,4,25.7,7.9,3.4,7.6,44.7,0,0,0,1.1,2.3,47.8,2.5,4.1,6.6,1.5,1.4,0.9,0.3,3.2,20.3,1,0,-0.8
Nick Calathes,MEM,26,10,5,5,12.6,3.3,1.2,3.6,33.3,0.6,1.3,46.2,0.3,0.8,37.5,0.1,1.5,1.6,1.6,1,0.9,0.1,1.5,9.6,0,0,0.8
Nick Johnson,HOU,22,9,4,5,5.4,1.3,0.4,1.9,23.5,0.1,0.8,14.3,0.3,0.3,100,0.1,0.3,0.4,0.4,0.4,0,0.1,0.8,2.4,0,0,-1.4
Nicolas Batum,POR,26,5,1,4,41.7,14.2,4.8,14,34.3,2.6,7.8,33.3,2,2.6,76.9,1.2,7.4,8.6,5.2,2.4,0.2,0.2,2.2,31.1,1,0,-5
Nikola Mirotic,CHI,24,11,5,6,14.9,5.7,1.8,6,30.3,0.6,2.7,23.3,1.5,1.8,80,0.6,2.1,2.7,0.8,0.7,0.5,0.5,2,12.8,0,0,2.4
Norris Cole,NOP,26,4,0,4,26.4,8.8,3.8,9,41.7,0.8,3.5,21.4,0.5,0.8,66.7,0.3,1.5,1.8,1.8,2,0,0.3,3.8,12.2,0,0,3.3
O.J. Mayo,MIL,27,6,2,4,26,9,3,9,33.3,1,3.2,31.6,2,2,100,0.2,3.2,3.3,3,1.5,1.2,0.2,2.3,20,0,0,-0.5
Omer Asik,NOP,28,4,0,4,19.8,2,0.5,2.5,20,0,0,0,1,1.8,57.1,3,4.3,7.3,1.5,1.3,1.3,0,2.5,15.5,0,0,-9
Otto Porter Jr.,WAS,22,10,6,4,33.1,10,3.9,8.8,44.3,1.2,3.2,37.5,1,2.1,47.6,2.4,5.6,8,1.8,0.6,1.2,0.2,1.6,25.9,1,0,6.2
Pablo Prigioni,HOU,38,17,9,8,17.3,3.1,1.1,3.4,33.3,0.7,2.4,29.3,0.2,0.2,75,0.4,0.8,1.1,2.3,0.7,0.9,0,2.4,9.8,0,0,-1.2
Patrick Patterson,TOR,26,4,0,4,26.5,10.3,3.8,6.8,55.6,1.8,3.8,46.7,1,1,100,1,2.5,3.5,1.3,0.8,0.8,0,1.3,17.8,0,0,-8.5
Patty Mills,SAS,26,7,3,4,16,10.1,3,6,50,2.3,4,57.1,1.9,1.9,100,0.6,2.1,2.7,1.1,0.7,0.3,0,2.1,15.3,0,0,5.1
Pau Gasol,CHI,34,10,6,4,31.7,14.4,5.6,11.5,48.7,0,0.4,0,3.2,4.2,76.2,1.7,7.7,9.4,3.1,2.1,0.5,2.1,1.8,36,6,0,6.5
Paul Millsap,ATL,30,16,8,8,35.4,15.2,5.3,13.1,40.7,0.9,3.1,30.6,3.6,4.9,74.4,2.3,6.4,8.7,3.4,2.1,1.6,0.9,3.3,36,6,0,3.4
Paul Pierce,WAS,37,10,6,4,29.8,14.6,4.8,9.9,48.5,3.3,6.3,52.4,1.7,2,85,0,4.2,4.2,0.9,1,0.6,0.7,3.3,23.9,0,0,1
Pero Antic,ATL,32,15,8,7,13.2,4.2,1.1,3.3,32,0.7,2.1,34.4,1.3,1.7,80,0.6,2.3,2.9,0.3,0.3,0.1,0.2,2.5,8.7,0,0,0
Phil Pressey,BOS,24,2,0,2,2.5,0,0,1.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,2.1,0,0,-0.5
Quincy Pondexter,NOP,27,4,0,4,31.1,7.3,2.5,7,35.7,0.8,2.5,30,1.5,1.8,85.7,0.8,4.3,5,3,0.3,1.8,0,3.3,22.8,0,0,-9.3
Rajon Rondo,DAL,29,2,0,2,18.6,9.5,4.5,10,45,0.5,1,50,0,0,0,0.5,0.5,1,3,1,0,0,3,14.2,0,0,-18
Ramon Sessions,WAS,29,10,6,4,21.8,7.5,2.6,7,37.1,1,2.5,40,1.3,1.9,68.4,0.2,2.2,2.4,2.3,1,0.4,0.1,1.4,14.3,0,0,3.8
Rasual Butler,WAS,36,2,2,0,3.7,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,1,1.4,0,0,-1.5
Raymond Felton,DAL,31,3,1,2,12,3.7,1.3,5,26.7,0,1.3,0,1,1,100,0.3,2,2.3,1.3,0,0,0,0.3,8.5,0,0,-5
Richard Jefferson,DAL,35,4,1,3,12.7,3.8,1.3,3.5,35.7,0.8,2,37.5,0.5,0.5,100,0,0.5,0.5,0.3,0.8,0.5,0,2.3,5.5,0,0,-8.3
Robin Lopez,POR,27,5,1,4,23.4,5.2,1.8,3,60,0,0,0,1.6,1.6,100,1.8,2.6,4.4,0.6,1,0.2,1,3,14,0,0,-9.8
Russ Smith,MEM,24,2,0,2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,1.5
Ryan Anderson,NOP,27,4,0,4,23.7,10.8,4,9,44.4,1.3,3,41.7,1.5,1.5,100,1.8,2.5,4.3,2.3,1,0,0.5,3,19.7,0,0,2.5
Shaun Livingston,GSW,29,21,16,5,17.8,5,2,3.8,53.2,0,0,0,1,1.2,84,0.6,1.8,2.4,1.8,1,0.4,0.2,1.5,11.5,0,0,3.4
Shawn Marion,CLE,37,6,5,1,4.2,0.3,0.2,1,16.7,0,0,0,0,0,0,0.3,0.7,1,0.2,0,0.3,0,0.2,2.8,0,0,-0.2
Shelvin Mack,ATL,25,10,4,6,9.9,3.9,1.5,3.9,38.5,0.6,2.1,28.6,0.3,0.6,50,0.2,0.9,1.1,1,0.2,0.8,0,0.7,8.9,0,0,-4.1
Spencer Hawes,LAC,27,8,4,4,7.1,2.9,1.1,2.1,52.9,0.4,0.8,50,0.3,0.3,100,0.4,1.3,1.6,0.6,0.1,0.3,0.4,1.5,7.5,0,0,0.3
Stephen Curry,GSW,27,21,16,5,39.3,28.3,9.5,20.9,45.6,4.7,11,42.2,4.6,5.5,83.5,1,4,5,6.4,3.9,1.9,0.1,2.2,46,1,0,7.9
Steve Blake,POR,35,5,1,4,8.5,1.4,0.4,2.2,18.2,0.2,1.6,12.5,0.4,0.4,100,0,0.2,0.2,1.6,0.4,0,0.2,0.8,4.2,0,0,-4
Taj Gibson,CHI,30,12,6,6,23,7.4,2.8,6,47.2,0,0,0,1.8,2.5,70,2.1,3.4,5.5,1,0.9,0.3,1,2.1,18.6,0,0,-4.3
Terrence Jones,HOU,23,17,9,8,23.6,10.2,3.9,9.4,42.1,0.2,1.1,15.8,2.1,3.2,66.7,1.7,3.1,4.8,1,0.9,0.5,0.7,1.8,20,0,0,-2
Terrence Ross,TOR,24,4,0,4,26.7,7,2.8,7.3,37.9,1.5,4.5,33.3,0,0,0,0,1.5,1.5,1,0.5,0.8,1,2.5,15.1,0,0,-9.8
Thaddeus Young,BKN,27,6,2,4,31.7,10.5,4.8,11,43.9,0,0.7,0,0.8,2,41.7,2.8,4.3,7.2,2.7,2.3,0.8,0.2,2.5,23.8,2,0,-2.8
Tiago Splitter,SAS,30,7,3,4,17.6,3.4,1.3,3.4,37.5,0,0,0,0.9,2.7,31.6,1.9,2.6,4.4,1.3,1,0.6,0.1,2.4,11.8,0,0,-2.3
Tim Duncan,SAS,39,7,3,4,35.7,17.9,7.6,12.9,58.9,0,0.1,0,2.7,4.9,55.9,2.7,8.4,11.1,3.3,1,1.3,1.4,3.7,43.3,6,0,2.4
Tim Frazier,POR,24,2,0,2,1.7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,-0.5,0,0,2.5
Timofey Mozgov,CLE,28,20,14,6,26.4,10.6,3.7,7.4,50,0,0,0,3.2,4.1,79,2.9,4.5,7.3,0.7,1.9,0.4,1.8,2.9,25.1,5,0,4
Tony Allen,MEM,33,10,6,4,27.9,6.6,2.8,5.7,49.1,0.1,0.7,14.3,0.9,1.2,75,1.4,3.8,5.2,1.5,1.3,2.4,1.1,2.7,24.3,0,0,0.3
Tony Parker,SAS,33,7,3,4,30,10.9,4.7,13,36.3,0,1.3,0,1.4,2.4,58.8,0.6,2.7,3.3,3.6,1.6,0.3,0,2,19.4,0,0,-0.9
Tony Snell,CHI,23,11,5,6,12.7,3.9,1.4,4,34.1,0.8,2.5,33.3,0.4,0.4,100,0.1,1.5,1.5,0.5,0.5,0,0.3,1.2,6.9,0,0,-0.3
Trevor Ariza,HOU,29,17,9,8,38.5,13.2,4.4,10.4,42.6,2.1,5.6,37.5,2.2,2.5,90.5,1.1,5.4,6.4,2.6,1.4,1.8,0.1,3,29,2,0,-0.6
Tristan Thompson,CLE,24,20,14,6,36.3,9.6,3.6,6.5,55.8,0,0,0,2.4,4.1,58.5,4.4,6.4,10.8,0.5,0.8,0.3,1.2,2.5,26.8,9,0,1.4
Tyler Ennis,MIL,20,1,0,1,16.4,5,2,9,22.2,1,5,20,0,0,0,3,1,4,3,0,0,0,1,14.3,0,0,-8
Tyler Hansbrough,TOR,29,4,0,4,11.9,1.3,0.3,1.3,20,0,0,0,0.8,1,75,0.3,1.3,1.5,0.8,0.5,0.5,0.3,2,5.9,0,0,-1.8
Tyler Zeller,BOS,25,4,0,4,22.4,8.5,3.8,7.3,51.7,0,0,0,1,1.3,80,0.5,4,4.5,0.5,1,0.5,0.3,1.3,15.9,0,0,-4.8
Tyreke Evans,NOP,25,4,0,4,31.3,10,3.5,10.8,32.6,0.5,2.8,18.2,2.5,4.3,58.8,0.8,4.3,5,5,1.5,1.3,0.3,2.5,26.5,1,0,-12
Tyson Chandler,DAL,32,5,1,4,32.1,10.2,3.8,5.8,65.5,0,0,0,2.6,5.2,50,5.4,5.4,10.8,0.2,1,0.6,1.2,3.2,27.9,2,0,-6.6
Vince Carter,MEM,38,11,6,5,17.8,6.3,2.5,6.1,40.3,0.6,2.5,25,0.7,0.8,88.9,1.2,3.1,4.3,1,0.6,0.6,0.2,1.5,14.7,0,0,-0.9
Will Bynum,WAS,32,3,2,1,10.5,6.3,2.3,4.7,50,0.3,0.7,50,1.3,1.7,80,0.7,0.3,1,1,1.7,0.7,0.3,2,10.4,0,0,-2.3
Zach Randolph,MEM,33,11,6,5,34.7,15.6,6.5,15.3,42.3,0.1,0.5,20,2.6,3,87.9,2.9,5.5,8.5,2.1,2.1,0.5,0,3.4,28.5,4,0,-0.6
Zaza Pachulia,MIL,31,6,2,4,21.4,6.7,2.7,6.7,40,0,0,0,1.3,2.2,61.5,1.8,4.8,6.7,1.5,0.8,1.7,0.5,2.5,22.6,0,0,-5.5
